Date,Price,Open,High,Low,Vol.,Change %
04/17/2023,"9,025","9,025","9,050","8,900",83.95M,0.28%
04/14/2023,"9,000","9,000","9,000","8,950",90.71M,0.84%
04/13/2023,"8,925","8,950","8,950","8,875",68.71M,0.28%
04/12/2023,"8,900","8,900","8,900","8,825",76.27M,0.85%
04/11/2023,"8,825","8,825","8,825","8,750",44.55M,0.28%
04/10/2023,"8,800","8,725","8,800","8,700",24.92M,0.57%
04/06/2023,"8,750","8,700","8,775","8,700",45.50M,0.29%
04/05/2023,"8,725","8,775","8,800","8,725",37.59M,-0.57%
04/04/2023,"8,775","8,825","8,825","8,650",49.12M,-0.28%
04/03/2023,"8,800","8,825","8,825","8,750",52.54M,0.57%
03/31/2023,"8,750","8,825","8,850","8,725",97.16M,-0.85%
03/30/2023,"8,825","8,900","8,900","8,800",118.98M,0.28%
03/29/2023,"8,800","8,675","8,800","8,625",79.93M,1.44%
